id,text,label,
0,How did serfdom develop in and then leave Russia ?,DESC,
1,What films featured the character Popeye Doyle ?,ENTY,
2,How can I find a list of celebrities ' real names ?,DESC,
3,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,ENTY,
4,What is the full form of .com ?,ABBR,
5,What contemptible scoundrel stole the cork from my lunch ?,HUM,
6,What team did baseball 's St. Louis Browns become ?,HUM,
7,What is the oldest profession ?,HUM,
8,What are liver enzymes ?,DESC,
9,Name the scar-faced bounty hunter of The Old West .,HUM,
10,When was Ozzy Osbourne born ?,NUM,
11,Why do heavier objects travel downhill faster ?,DESC,
12,Who was The Pride of the Yankees ?,HUM,
13,Who killed Gandhi ?,HUM,
14,What is considered the costliest disaster the insurance industry has ever faced ?,ENTY,
15,What sprawling U.S. state boasts the most airports ?,LOC,
16,What did the only repealed amendment to the U.S. Constitution deal with ?,DESC,
17,How many Jews were executed in concentration camps during WWII ?,NUM,
18,What is `` Nine Inch Nails '' ?,DESC,
19,What is an annotated bibliography ?,DESC,
20,What is the date of Boxing Day ?,NUM,
21,What articles of clothing are tokens in Monopoly ?,ENTY,
22,Name 11 famous martyrs .,HUM,
23,What 's the Olympic motto ?,DESC,
24,What is the origin of the name ` Scarlett ' ?,DESC,
25,What 's the second-most-used vowel in English ?,ENTY,
26,Who was the inventor of silly putty ?,HUM,
27,What is the highest waterfall in the United States ?,LOC,
28,Name a golf course in Myrtle Beach .,ENTY,
29,Which two states enclose Chesapeake Bay ?,LOC,
30,What does the abbreviation AIDS stand for ?,ABBR,
31,What does a spermologer collect ?,ENTY,
32,How many points make up a perfect fivepin bowling score ?,NUM,
33,Which company that manufactures video-game hardware sells the `` super system '' ?,HUM,
34,How many Community Chest cards are there in Monopoly ?,NUM,
35,What do Mormons believe ?,DESC,
36,When did the neanderthal man live ?,NUM,
37,In what religion was Isis the nature goddess ?,ENTY,
38,Where do the adventures of `` The Swiss Family Robinson '' take place ?,LOC,
39,What relative of the racoon is sometimes known as the cat-bear ?,ENTY,
40,How can I register my website in Yahoo for free ?,DESC,
41,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,ENTY,
42,How many people in the world speak French ?,NUM,
43,How many inches over six feet is the Venus de Milo ?,NUM,
44,How do they find or choose witnesses to an execution ?,DESC,
45,What 1920s cowboy star rode Tony the Wonder Horse ?,HUM,
46,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,ENTY,
47,What ISPs exist in the Caribbean ?,HUM,
48,How do you ask a total stranger out on a date ?,DESC,
49,What weapon is the mythological character Apollo most proficient with ?,ENTY,
50,What country do the Galapagos Islands belong to ?,LOC,
51,What is ethology ?,DESC,
52,Who was the prophet of the Muslim people ?,HUM,
53,Where did the term `` 86ed '' come from ?,DESC,
54,Who is Snoopy 's arch-enemy ?,HUM,
55,What is the nature of learning ?,DESC,
56,What 's the only color Johnny Cash wears on stage ?,ENTY,
57,What 's the term for a young fox ?,ENTY,
58,What U.S. state lived under six flags ?,LOC,
59,What is the Kashmir issue ?,DESC,
60,Where is the Loop ?,LOC,
61,What does `` extended definition '' mean and how would one write a paper on it ?,DESC,
62,What country 's capital is Tirana ?,LOC,
63,What is titanium ?,DESC,
64,Who do Herb and Tootsie live next door to ?,HUM,
65,Which city has the oldest relationship as a sisterðcity with Los Angeles ?,LOC,
66,What is a caldera ?,DESC,
67,Why do people get calluses ?,DESC,
68,What are the names of the tourist attractions in Reims ?,LOC,
69,What are Cushman and Wakefield known for ?,DESC,
70,What body of water does the Danube River flow into ?,LOC,
71,Who is the founder of Scientology ?,HUM,
72,What does the six-footed Musca domestica become when it enters a house ?,ENTY,
73,What is the history of skateboarding ?,DESC,
74,Who starred in Singing in the Rain and The Singing Nun ?,HUM,
75,How do I make fuel bricks from recycled newspaper ?,DESC,
76,What 19th-century painter died in the Marquesas Islands ?,HUM,
77,The corpus callosum is in what part of the body ?,ENTY,
78,How do I log on to home page at Headquarters U.S. European Command ?,DESC,
79,What country did the Nazis occupy for 1 ,LOC,
80,What is Nebraska 's most valuable resource ?,ENTY,
81,How many species of the Great White shark are there ?,NUM,
82,What is the origin of head lice ?,DESC,
83,What is the nickname for the state of Mississippi ?,LOC,
84,What was the first domesticated bird ?,ENTY,
85,How many villi are found in the small intestine ?,NUM,
86,What country did King Wenceslas rule ?,LOC,
87,What is a fear of shadows ?,ENTY,
88,Who were the five Marx brothers ?,HUM,
89,In which year was New Zealand excluded from the ANZUS alliance ?,NUM,
